"Date de déclaration du cas","Par lien épidémiologique","En laboratoire"
"2020-02-24 00:00:00",0,0
"2020-02-25 00:00:00",0,1
"2020-02-26 00:00:00",0,0
"2020-02-27 00:00:00",0,0
"2020-02-28 00:00:00",0,1
"2020-02-29 00:00:00",0,0
"2020-03-01 00:00:00",1,0
"2020-03-02 00:00:00",0,3
"2020-03-03 00:00:00",0,2
"2020-03-04 00:00:00",0,2
"2020-03-05 00:00:00",0,1
"2020-03-06 00:00:00",0,2
"2020-03-07 00:00:00",0,0
"2020-03-08 00:00:00",0,1
"2020-03-09 00:00:00",0,1
"2020-03-10 00:00:00",1,1
"2020-03-11 00:00:00",0,10
"2020-03-12 00:00:00",0,6
"2020-03-13 00:00:00",0,4
"2020-03-14 00:00:00",0,19
"2020-03-15 00:00:00",0,13
"2020-03-16 00:00:00",0,17
"2020-03-17 00:00:00",0,44
"2020-03-18 00:00:00",1,40
"2020-03-19 00:00:00",1,73
"2020-03-20 00:00:00",8,122
"2020-03-21 00:00:00",2,184
"2020-03-22 00:00:00",1,238
"2020-03-23 00:00:00",8,338
"2020-03-24 00:00:00",10,259
"2020-03-25 00:00:00",7,362
"2020-03-26 00:00:00",5,361
"2020-03-27 00:00:00",3,449
"2020-03-28 00:00:00",8,408
"2020-03-29 00:00:00",15,554
"2020-03-30 00:00:00",44,535
"2020-03-31 00:00:00",50,681
"2020-04-01 00:00:00",56,645
"2020-04-02 00:00:00",74,803
"2020-04-03 00:00:00",81,693
"2020-04-04 00:00:00",111,695
"2020-04-05 00:00:00",85,551
"2020-04-06 00:00:00",88,791
"2020-04-07 00:00:00",77,714
"2020-04-08 00:00:00",87,601
"2020-04-09 00:00:00",102,646
"2020-04-10 00:00:00",86,553
"2020-04-11 00:00:00",77,587
"2020-04-12 00:00:00",83,711
"2020-04-13 00:00:00",98,866
"2020-04-14 00:00:00",128,831
"2020-04-15 00:00:00",231,870
"2020-04-16 00:00:00",117,849
"2020-04-17 00:00:00",168,858
"2020-04-18 00:00:00",113,550
"2020-04-19 00:00:00",95,726
"2020-04-20 00:00:00",158,752
"2020-04-21 00:00:00",115,689
"2020-04-22 00:00:00",140,746
"2020-04-23 00:00:00",152,756
"2020-04-24 00:00:00",134,726
"2020-04-25 00:00:00",95,663
"2020-04-26 00:00:00",89,526
"2020-04-27 00:00:00",125,788
"2020-04-28 00:00:00",129,792
"2020-04-29 00:00:00",123,779
"2020-04-30 00:00:00",112,890
"2020-05-01 00:00:00",119,936
"2020-05-02 00:00:00",89,809
"2020-05-03 00:00:00",81,718
"2020-05-04 00:00:00",110,757
"2020-05-05 00:00:00",127,767
"2020-05-06 00:00:00",128,901
"2020-05-07 00:00:00",101,751
"2020-05-08 00:00:00",91,686
"2020-05-09 00:00:00",77,678
"2020-05-10 00:00:00",56,596
"2020-05-11 00:00:00",101,630
"2020-05-12 00:00:00",131,663
"2020-05-13 00:00:00",99,683
"2020-05-14 00:00:00",71,631
"2020-05-15 00:00:00",65,723
"2020-05-16 00:00:00",72,624
"2020-05-17 00:00:00",94,642
"2020-05-18 00:00:00",78,591
"2020-05-19 00:00:00",58,579
"2020-05-20 00:00:00",74,728
"2020-05-21 00:00:00",66,655
"2020-05-22 00:00:00",45,561
"2020-05-23 00:00:00",44,461
"2020-05-24 00:00:00",59,487
"2020-05-25 00:00:00",48,467
"2020-05-26 00:00:00",54,395
"2020-05-27 00:00:00",63,459
"2020-05-28 00:00:00",43,370
"2020-05-29 00:00:00",29,398
"2020-05-30 00:00:00",19,378
"2020-05-31 00:00:00",33,259
"2020-06-01 00:00:00",37,291
"2020-06-02 00:00:00",12,215
"2020-06-03 00:00:00",27,248
"2020-06-04 00:00:00",24,233
"2020-06-05 00:00:00",27,221
"2020-06-06 00:00:00",26,222
"2020-06-07 00:00:00",16,173
"2020-06-08 00:00:00",8,110
"2020-06-09 00:00:00",10,154
"2020-06-10 00:00:00",18,154
"2020-06-11 00:00:00",12,142
"2020-06-12 00:00:00",17,159
"2020-06-13 00:00:00",17,107
"2020-06-14 00:00:00",5,89
"2020-06-15 00:00:00",10,100
"2020-06-16 00:00:00",12,123
"2020-06-17 00:00:00",9,112
"2020-06-18 00:00:00",13,122
"2020-06-19 00:00:00",18,116
"2020-06-20 00:00:00",7,91
"2020-06-21 00:00:00",1,77
"2020-06-22 00:00:00",5,80
"2020-06-23 00:00:00",0,92
"2020-06-24 00:00:00",5,84
"2020-06-25 00:00:00",6,83
"2020-06-26 00:00:00",13,72
"2020-06-27 00:00:00",3,85
"2020-06-28 00:00:00",3,56
"2020-06-29 00:00:00",6,55
"2020-06-30 00:00:00",9,88
"2020-07-01 00:00:00",1,72
"2020-07-02 00:00:00",8,62
"2020-07-03 00:00:00",4,86
"2020-07-04 00:00:00",1,94
"2020-07-05 00:00:00",8,47
"2020-07-06 00:00:00",0,69
"2020-07-07 00:00:00",3,105
"2020-07-08 00:00:00",3,97
"2020-07-09 00:00:00",3,129
"2020-07-10 00:00:00",3,110
"2020-07-11 00:00:00",4,97
"2020-07-12 00:00:00",2,73
"2020-07-13 00:00:00",7,132
"2020-07-14 00:00:00",4,125
"2020-07-15 00:00:00",8,139
"2020-07-16 00:00:00",4,134
"2020-07-17 00:00:00",7,189
"2020-07-18 00:00:00",7,180
"2020-07-19 00:00:00",1,131
"2020-07-20 00:00:00",6,125
"2020-07-21 00:00:00",6,146
"2020-07-22 00:00:00",3,173
"2020-07-23 00:00:00",7,183
"2020-07-24 00:00:00",6,156
"2020-07-25 00:00:00",4,157
"2020-07-26 00:00:00",9,138
"2020-07-27 00:00:00",3,84
"2020-07-28 00:00:00",6,124
"2020-07-29 00:00:00",15,164
"2020-07-30 00:00:00",7,145
"2020-07-31 00:00:00",7,129
"2020-08-01 00:00:00",5,129
"2020-08-02 00:00:00",4,88
"2020-08-03 00:00:00",7,139
"2020-08-04 00:00:00",3,146
"2020-08-05 00:00:00",9,115
"2020-08-06 00:00:00",8,86
"2020-08-07 00:00:00",7,121
"2020-08-08 00:00:00",8,106
"2020-08-09 00:00:00",6,92
"2020-08-10 00:00:00",7,94
"2020-08-11 00:00:00",4,97
"2020-08-12 00:00:00",3,89
"2020-08-13 00:00:00",6,93
"2020-08-14 00:00:00",6,71
"2020-08-15 00:00:00",6,59
"2020-08-16 00:00:00",1,42
"2020-08-17 00:00:00",3,46
"2020-08-18 00:00:00",2,79
"2020-08-19 00:00:00",2,72
"2020-08-20 00:00:00",3,104
"2020-08-21 00:00:00",3,105
"2020-08-22 00:00:00",1,71
"2020-08-23 00:00:00",2,74
"2020-08-24 00:00:00",3,41
"2020-08-25 00:00:00",3,93
"2020-08-26 00:00:00",3,124
"2020-08-27 00:00:00",6,116
"2020-08-28 00:00:00",2,108
"2020-08-29 00:00:00",7,135
"2020-08-30 00:00:00",3,116
"2020-08-31 00:00:00",4,126
"2020-09-01 00:00:00",9,144
"2020-09-02 00:00:00",5,182
"2020-09-03 00:00:00",9,216
"2020-09-04 00:00:00",5,182
"2020-09-05 00:00:00",5,194
"2020-09-06 00:00:00",5,191
"2020-09-07 00:00:00",10,180
"2020-09-08 00:00:00",6,186
"2020-09-09 00:00:00",10,240
"2020-09-10 00:00:00",10,250
"2020-09-11 00:00:00",10,301
"2020-09-12 00:00:00",9,288
"2020-09-13 00:00:00",12,308
"2020-09-14 00:00:00",8,274
"2020-09-15 00:00:00",14,313
"2020-09-16 00:00:00",9,292
"2020-09-17 00:00:00",6,349
"2020-09-18 00:00:00",18,472
"2020-09-19 00:00:00",18,482
"2020-09-20 00:00:00",10,497
"2020-09-21 00:00:00",13,468
"2020-09-22 00:00:00",23,502
"2020-09-23 00:00:00",30,658
"2020-09-24 00:00:00",30,707
"2020-09-25 00:00:00",29,712
"2020-09-26 00:00:00",18,898
"2020-09-27 00:00:00",29,827
"2020-09-28 00:00:00",27,882
"2020-09-29 00:00:00",21,941
"2020-09-30 00:00:00",27,995
"2020-10-01 00:00:00",15,947
"2020-10-02 00:00:00",24,1147
"2020-10-03 00:00:00",19,1144
"2020-10-04 00:00:00",10,1041
"2020-10-05 00:00:00",19,828
"2020-10-06 00:00:00",28,977
"2020-10-07 00:00:00",25,956
"2020-10-08 00:00:00",19,1078
"2020-10-09 00:00:00",18,1121
"2020-10-10 00:00:00",25,893
"2020-10-11 00:00:00",20,1070
"2020-10-12 00:00:00",22,782
"2020-10-13 00:00:00",23,934
"2020-10-14 00:00:00",15,1083
"2020-10-15 00:00:00",10,1141
"2020-10-16 00:00:00",20,1125
"2020-10-17 00:00:00",22,1040
"2020-10-18 00:00:00",23,951
"2020-10-19 00:00:00",17,838
"2020-10-20 00:00:00",19,1020
"2020-10-21 00:00:00",11,979
"2020-10-22 00:00:00",26,912
"2020-10-23 00:00:00",10,1036
"2020-10-24 00:00:00",21,814
"2020-10-25 00:00:00",12,820
"2020-10-26 00:00:00",14,985
"2020-10-27 00:00:00",26,951
"2020-10-28 00:00:00",15,981
"2020-10-29 00:00:00",21,1047
"2020-10-30 00:00:00",8,949
"2020-10-31 00:00:00",14,971
"2020-11-01 00:00:00",13,1013
"2020-11-02 00:00:00",16,886
"2020-11-03 00:00:00",14,1053
"2020-11-04 00:00:00",15,1154
"2020-11-05 00:00:00",13,1262
"2020-11-06 00:00:00",12,1186
"2020-11-07 00:00:00",15,1228
"2020-11-08 00:00:00",11,1300
"2020-11-09 00:00:00",16,1193
"2020-11-10 00:00:00",13,1298
"2020-11-11 00:00:00",25,1374
"2020-11-12 00:00:00",17,1312
"2020-11-13 00:00:00",13,1372
"2020-11-14 00:00:00",15,1231
"2020-11-15 00:00:00",22,1101
"2020-11-16 00:00:00",22,1003
"2020-11-17 00:00:00",16,1110
"2020-11-18 00:00:00",17,1194
"2020-11-19 00:00:00",23,1288
"2020-11-20 00:00:00",14,1134
"2020-11-21 00:00:00",11,1113
"2020-11-22 00:00:00",21,1191
"2020-11-23 00:00:00",11,1071
"2020-11-24 00:00:00",11,1222
"2020-11-25 00:00:00",14,1385
"2020-11-26 00:00:00",15,1318
"2020-11-27 00:00:00",11,1264
"2020-11-28 00:00:00",15,1418
"2020-11-29 00:00:00",19,1364
"2020-11-30 00:00:00",23,1248
"2020-12-01 00:00:00",15,1516
"2020-12-02 00:00:00",17,1541
"2020-12-03 00:00:00",20,1485
"2020-12-04 00:00:00",24,1752
"2020-12-05 00:00:00",18,1634
"2020-12-06 00:00:00",24,1520
"2020-12-07 00:00:00",28,1606
"2020-12-08 00:00:00",17,1641
"2020-12-09 00:00:00",23,1732
"2020-12-10 00:00:00",27,1736
"2020-12-11 00:00:00",19,1905
"2020-12-12 00:00:00",23,1984
"2020-12-13 00:00:00",26,1734
"2020-12-14 00:00:00",20,1881
"2020-12-15 00:00:00",29,1765
"2020-12-16 00:00:00",18,2112
"2020-12-17 00:00:00",29,2301
"2020-12-18 00:00:00",23,2112
"2020-12-19 00:00:00",8,2058
"2020-12-20 00:00:00",23,1951
"2020-12-21 00:00:00",11,2108
"2020-12-22 00:00:00",22,2150
"2020-12-23 00:00:00",11,2236
"2020-12-24 00:00:00",8,2412
"2020-12-25 00:00:00",8,2315
"2020-12-26 00:00:00",15,2088
"2020-12-27 00:00:00",14,2150
"2020-12-28 00:00:00",9,2307
"2020-12-29 00:00:00",31,2844
"2020-12-30 00:00:00",29,2796
"2020-12-31 00:00:00",13,2529
"2021-01-01 00:00:00",22,2735
"2021-01-02 00:00:00",16,2393
"2021-01-03 00:00:00",19,2153
"2021-01-04 00:00:00",19,2541
"2021-01-05 00:00:00",17,2582
"2021-01-06 00:00:00",4,2878
"2021-01-07 00:00:00",7,2839
"2021-01-08 00:00:00",10,2749
"2021-01-09 00:00:00",14,2008
"2021-01-10 00:00:00",11,2029
"2021-01-11 00:00:00",13,1781
"2021-01-12 00:00:00",19,2187
"2021-01-13 00:00:00",15,2018
"2021-01-14 00:00:00",19,1963
"2021-01-15 00:00:00",17,1824
"2021-01-16 00:00:00",14,1924
"2021-01-17 00:00:00",15,1514
"2021-01-18 00:00:00",19,1328
"2021-01-19 00:00:00",8,1518
"2021-01-20 00:00:00",6,1582
"2021-01-21 00:00:00",12,1092
